,Static_Dram,Static_Processor,Dynamic_Dram,Dynamic_Processor
28nm:BVSS:1MB,0.15100313809386487,1.8111352618770076,0.1169065741597189,13.281031381164752
28nm:BVSS:2MB,0.14503389035532285,1.837143944660178,0.10748304516895366,13.260510659604599
28nm:BVSS:0.5MB,0.15930725411154856,1.8842465373037427,0.12617031721933694,13.4121095167542
45nm:BVSS:1MB,0.446432843789856,6.130778124013199,0.532304163334944,24.149998223064003
28nm:CXBV:1MB,0.19294575282097923,2.178247055690664,0.2364648332720688,12.679024599511198
28nm:CXBV:2MB,0.18432863731110571,2.167710878119941,0.22504338413238256,12.623046239433
28nm:CXBV:0.5MB,0.2285036131295668,2.538167528509909,0.28016431854761126,12.96713010854625
45nm:CXBV:1MB,0.6141441708728471,7.179898021287074,1.0655182003986527,22.761445738728376
28nm:CXFD:1MB,0.3638031807396,4.056424811101688,0.6468451934665874,15.393564991612502
28nm:CXFD:2MB,0.32667324268430037,3.804747220801296,0.5742712210513236,15.138999355964401
28nm:CXFD:0.5MB,0.4764216803028354,5.0803798900551635,0.9472094281644824,16.1384263089882
45nm:CXFD:1MB,1.1463282110679918,13.351826667120374,2.970005606896821,27.039597105202496
28nm:RFFB:1MB,0.21312921203603455,3.0792194668460295,0.07036131981507245,14.442221118017699
28nm:RFFB:2MB,0.20754321717855598,3.162187659913128,0.063609198307956,14.4216795117402
28nm:RFFB:0.5MB,0.2203482327445639,3.078982519283869,0.08017563570218735,14.486144728261499
45nm:RFFB:1MB,0.3659429804048109,10.389830251268789,0.3137068919009781,25.56184309272405
28nm:BVSS:4MB,0.12869319118759528,1.8465220013790271,0.06948826671399272,13.1802524543487
45nm:BVSS:2MB,0.4255380608170807,6.332191092886995,0.4842098302016167,24.12586269875985
28nm:CXBV:4MB,0.1607267846521953,2.0814662789314067,0.17584321234673972,12.45349200365235
45nm:CXBV:2MB,0.5910463388245263,7.400040845924475,1.0129969655129862,22.72898042228625
28nm:CXFD:4MB,0.31034924150219484,3.9291284791168146,0.5425340001706627,15.094295855333101
45nm:CXFD:2MB,1.0352993313398147,13.052350682200622,2.6565035174414353,26.878492403185493
28nm:RFFB:4MB,0.20422647944685002,3.4146598468460625,0.058140412071524976,14.412837794512502
45nm:RFFB:2MB,0.3396752287797036,11.020935593407321,0.2858170749849744,25.5487579713744
45nm:BVSS:4MB,0.3393985313857115,6.671418208926713,0.31177757344542845,24.046056717261074
45nm:CXBV:4MB,0.510578893086622,7.449242721408338,0.7876433034218182,22.580806434613876
45nm:CXFD:4MB,0.9920529762944251,14.194200628250213,2.5230306798535196,26.97748252306695
45nm:RFFB:4MB,0.31872413579024966,12.427359037139025,0.2607595417693413,25.572228924929398
45nm:BVSS:0.5MB,0.5390694347612796,6.514750894250183,0.7446213417501507,24.341918086410228
45nm:CXBV:0.5MB,0.7453981107427954,8.261581310891843,1.3170217219534346,23.045820385116375
45nm:CXFD:0.5MB,1.3958037611210763,14.64870997883979,3.8693449272246228,26.789525854232398
45nm:RFFB:0.5MB,0.41636440035999894,10.02374860019715,0.37365498273612596,25.572541452412498
65nm:BVSS:1MB,0.2314703867982476,5.98288470734136,0.20352656432852884,53.47107941079712
65nm:CXBV:1MB,0.34336766120922824,7.15584329114928,0.4119983999917118,50.80878435950205
65nm:CXFD:1MB,0.6851864023455319,12.961582598196959,1.178092693308283,56.751015988222505
